id,name,name_reverse,object,subject
31,Träger/in von,wurde verliehen an,Person,Institution
35,Mitarbeiter,,Person,Institution
36,Mitarbeiter >> leitender Mitarbeiter,,Person,Institution
37,Mitarbeiter >> leitender Mitarbeiter >> Sektionschef,,Person,Institution
39,Mitarbeiter >> leitender Mitarbeiter >> Ministerialrat,,Person,Institution
40,Mitarbeiter >> leitender Mitarbeiter >> Sektionsrat,,Person,Institution
41,Mitarbeiter >> Ministerialsekretär,,Person,Institution
42,Mitarbeiter >> leitender Mitarbeiter >> Oberlandesgerichtsrat,,Person,Institution
45,Mitarbeiter >> Statthaltereirat,,Person,Institution
53,Kreisgerichtspräsident,,Person,Institution
54,Mitarbeiter >> leitender Mitarbeiter >> Statthalter,,Person,Institution
55,Mitarbeiter >> leitender Mitarbeiter >> Landesverweser,,Person,Institution
56,Mitarbeiter >> leitender Mitarbeiter >> Wirtschaftskommissär,,Person,Institution
57,Mitarbeiter >> leitender Mitarbeiter >> Finanzsekretär,,Person,Institution
58,Abgeordneter in,,Person,Institution
59,Mitglied von,,Person,Institution
64,Vertreter von,wird vertreten durch,Person,Institution
66,Mitarbeiter >> Sekretär,,Person,Institution
67,Mitarbeiter >> leitender Mitarbeiter >> Generalsekretär,,Person,Institution
68,Mitarbeiter >> Inspektor,,Person,Institution
69,Mitarbeiter >> Oberinspektor,,Person,Institution
70,Mitarbeiter >> Kontrollor,,Person,Institution
71,Mitarbeiter >> Oberkontrollor,,Person,Institution
72,Mitarbeiter >> leitender Mitarbeiter >> Präsident des Generalrates,,Person,Institution
73,Mitarbeiter >> leitender Mitarbeiter >> Direktor,,Person,Institution
74,Mitarbeiter >> Prokurist,,Person,Institution
75,Mitarbeiter >> leitender Mitarbeiter >> Direktor-Stellvertreter,,Person,Institution
76,Mitarbeiter >> leitender Mitarbeiter >> Mit-Chef,,Person,Institution
77,Mitarbeiter >> leitender Mitarbeiter >> Chef,,Person,Institution
78,Gesellschafter,,Person,Institution
79,Adelstitel,,Person,Institution
80,Adelstitel >> Freiherr/Freifrau,,Person,Institution
81,Adelstitel >> Edle/r,,Person,Institution
83,Mitarbeiter >> leitender Mitarbeiter >> Gremialrat,,Person,Institution
84,Mitarbeiter >> leitender Mitarbeiter >> Oberrechnungsrat,,Person,Institution
89,Mitarbeiter >> leitender Mitarbeiter >> Generaldirektor,,Person,Institution
93,Mitarbeiter >> leitender Mitarbeiter >> Direktor der Zweigstelle,,Person,Institution
95,Mitarbeiter >> leitender Mitarbeiter >> Zentralinspektor,,Person,Institution
96,Mitarbeiter >> leitender Mitarbeiter >> Finanzbezirksdirektor,,Person,Institution
107,Mitarbeiter >> leitender Mitarbeiter >> Vorstand,,Person,Institution
109,Mitarbeiter >> leitender Mitarbeiter >> Prokurator,,Person,Institution
110,Adelstitel >> Ritter,,Person,Institution
111,Adelstitel >> Graf/Gräfin,,Person,Institution
112,Adelstitel >> Fürst/in,,Person,Institution
113,Mitarbeiter >> leitender Mitarbeiter >> Finanzrat,,Person,Institution
114,Mitarbeiter >> leitender Mitarbeiter >> Finanzlandesdirektor,,Person,Institution
115,Mitarbeiter >> leitender Mitarbeiter >> Finanzlandesdirektor Stv.,,Person,Institution
116,Mitarbeiter >> leitender Mitarbeiter >> Oberfinanzrat,,Person,Institution
119,Mitarbeiter >> leitender Mitarbeiter >> Oberbergrat,,Person,Institution
120,Mitarbeiter >> leitender Mitarbeiter >> Gouverneur,,Person,Institution
122,Mitarbeiter >> leitender Mitarbeiter >> Vizepräsident,,Person,Institution
123,Mitarbeiter >> leitender Mitarbeiter >> Landespräsident,,Person,Institution
129,Redakteur,,Person,Institution
130,Redakteur >> Redakteur I. Klasse,,Person,Institution
131,Mitarbeiter >> Inspektor >> Generalinspektor,,Person,Institution
134,Mitarbeiter >> leitender Mitarbeiter >> Präsident,,Person,Institution
135,EmpfängerIn von,,Person,Institution
138,Mitarbeiter >> leitender Mitarbeiter >> Finanzwachoberrespizient,,Person,Institution
147,Mitarbeiter >> leitender Mitarbeiter >> Hilfsämteroberdirektor,,Person,Institution
150,Ritter von,,Person,Institution
152,Mitarbeiter >> Konzipist,,Person,Institution
158,Mitarbeiter >> leitender Mitarbeiter >> Leiter,,Person,Institution
160,Mitarbeiter >> leitender Mitarbeiter >> Steuerlandesinspektor,,Person,Institution
176,Minister des kaiserlichen und königlichen Hauses und des Äußeren,,Person,Institution
177,Leiter des Ministeriums des kaiserlichen Hauses und des Äußeren,,Person,Institution
178,Reichsfinanzminister ,,Person,Institution
179,Leiter des Reichsfinanzministeriums,,Person,Institution
180,Reichs-Kriegsminister ,,Person,Institution
181,Kriegsminister,,Person,Institution
182,Chef der Marinesektion im Reichskriegsministerium,,Person,Institution
183,Ministerpräsident Cisleithanien,,Person,Institution
184,Vizepräsident Cisleithanien,,Person,Institution
185,Innenminister Cisleithanien,,Person,Institution
186,Unterrichtsminister Cisleithanien,,Person,Institution
187,Justizminister Cisleithanien,,Person,Institution
188,Minister für Landesverteidigung Cisleithanien,,Person,Institution
189,Finanzminister Cisleithanien,,Person,Institution
190,Handelsminister Cisleithanien,,Person,Institution
191,Ackerbauminister Cisleithanien,,Person,Institution
192,Minister ohne Geschäftsbereich,,Person,Institution
